,Event Name,Event ID,Event Venue,Country Code,Time Zone,Open Date,Market Count
0,Townsville (AUS) 26th Jul,31614448,Townsville,AU,Australia/Sydney,2022-07-26 09:15:00,10
1,Globe Derby (AUS) 26th Jul,31612640,Globe Derby,AU,Australia/Adelaide,2022-07-26 08:34:00,2
2,Bendigo (AUS) 26th Jul,31612497,Bendigo,AU,Australia/Sydney,2022-07-26 07:24:00,2
3,Suffolk Downs (F/C) 26th Jul,31615542,Suffolk Downs,GB,Europe/London,2022-07-26 07:12:00,2
4,Gloucester Park (AUS) 26th Jul,31612522,Gloucester Park,AU,Australia/Perth,2022-07-26 09:24:00,2
5,Warragul (AUS) 26th Jul,31614488,Warragul,AU,Australia/Sydney,2022-07-26 08:42:00,4
6,Specials,27088631,,GB,Europe/London,2022-05-20 15:45:00,2
7,Casino (AUS) 26th Jul,31614505,Casino,AU,Australia/Sydney,2022-07-26 08:49:00,3
8,Gosford (AUS) 26th Jul,31614510,Gosford,AU,Australia/Sydney,2022-07-26 08:58:00,5
9,Albury (AUS) 26th Jul,31612543,Albury,AU,Australia/Sydney,2022-07-26 07:07:00,2
10,Suffolk Downs 26th Jul,31615469,Suffolk Downs,GB,Europe/London,2022-07-26 07:12:00,4
